,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell beatmet,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,F채lle COVID-19 aktuell in Behandlung,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Betten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Gesamtzahl aktuell betreibbarer Intensivbetten,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell belegt,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Intensivbetten aktuell frei,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten,Prozentualer Anteil beatmeter Patienten
,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Summe,Th체ringen,Total,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Summe,Th체ringen,Total,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Th체ringen,Total,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Summe,Th체ringen,Total,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Summe,Th체ringen,Total,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Summe,Th체ringen,Total,Baden-W체rttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Summe,Th체ringen,Total
2020-04-12 13:08:29.859636,302,467,38,22,7,56,71,8,47,382,68,22,27,19,27,nan,30,"1,593",385,593,49,36,9,72,85,9,67,509,86,45,35,35,37,nan,40,"2,092","2,413","3,329",764.0,462.0,97.0,461.0,646,387.0,816,"5,023",743.0,291.0,806,447.0,663.0,597.0,"17,945",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,422","2,133",515,245,44,261,426,221,369,"2,941",372,126,456,238,342,nan,272,"10,383",991,"1,196",249,217,53,200,220,166,447,"2,082",371,165,350,209,321,nan,325,"7,562",78.4%,78.8%,77.6%,61.1%,77.8%,77.8%,83.5%,88.9%,70.1%,75.0%,79.1%,48.9%,77.1%,54.3%,73.0%,nan,75.0%,76.1%
2020-04-12 20:54:53.206799,316,482,88,25,7,71,77,8,51,392,69,24,27,18,26,nan,31,"1,712",408,617,110,42,9,90,93,9,72,527,87,48,35,31,38,nan,41,"2,257","2,475","3,293",844.0,501.0,98.0,688.0,666,387.0,853,"5,140",784.0,293.0,805,497.0,666.0,613.0,"18,603",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,480","2,101",562,264,45,413,440,221,393,"3,000",384,127,457,271,333,nan,277,"10,768",995,"1,192",282,237,53,275,226,166,460,"2,140",400,166,348,226,333,nan,336,"7,835",77.5%,78.1%,80.0%,59.5%,77.8%,78.9%,82.8%,88.9%,70.8%,74.4%,79.3%,50.0%,77.1%,58.1%,68.4%,nan,75.6%,75.9%
2020-04-13 12:31:39.661747,281,485,93,14,5,44,75,8,38,344,60,22,17,16,26,nan,35,"1,563",403,621,109,24,6,60,91,9,53,481,75,45,26,28,35,nan,45,"2,111","2,269","3,321",784.0,390.0,80.0,612.0,684,391.0,613,"4,720",671.0,269.0,560,401.0,659.0,525.0,"16,949",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,315","2,144",517,182,34,390,466,222,311,"2,736",293,111,314,197,328,nan,214,"9,774",954,"1,177",267,208,46,222,218,169,302,"1,984",378,158,246,204,331,nan,311,"7,175",69.7%,78.1%,85.3%,58.3%,83.3%,73.3%,82.4%,88.9%,71.7%,71.5%,80.0%,48.9%,65.4%,57.1%,74.3%,nan,77.8%,74.0%
2020-04-13 17:03:56.404678,301,495,39,18,7,59,82,8,43,374,65,23,20,19,24,nan,40,"1,617",424,628,52,22,8,79,102,9,61,510,100,48,29,34,34,nan,53,"2,193","2,401","3,346",727.0,397.0,96.0,667.0,778,391.0,809,"5,018",834.0,282.0,780,503.0,656.0,631.0,"18,316",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,376","2,135",493,188,42,428,538,221,361,"2,989",404,105,431,259,332,nan,289,"10,591","1,025","1,211",234,209,54,239,240,170,448,"2,029",430,177,349,244,324,nan,342,"7,725",71.0%,78.8%,75.0%,81.8%,87.5%,74.7%,80.4%,88.9%,70.5%,73.3%,65.0%,47.9%,69.0%,55.9%,70.6%,nan,75.5%,73.7%
2020-04-13 17:23:04.399225,303,488,39,19,7,69,82,8,51,374,65,23,21,19,23,nan,40,"1,631",426,620,53,23,8,91,102,9,72,512,100,48,30,36,34,nan,53,"2,217","2,401","3,448",727.0,455.0,96.0,696.0,777,391.0,938,"5,028",834.0,307.0,780,523.0,656.0,631.0,"18,688",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,379","2,208",492,229,41,440,540,223,412,"2,999",404,122,435,268,332,nan,289,"10,813","1,022","1,240",235,226,55,256,237,168,526,"2,029",430,185,345,255,324,nan,342,"7,875",71.1%,78.7%,73.6%,82.6%,87.5%,75.8%,80.4%,88.9%,70.8%,73.0%,65.0%,47.9%,70.0%,52.8%,67.6%,nan,75.5%,73.6%
2020-04-13 18:46:48.310548,297,493,38,18,7,69,87,8,51,372,65,20,21,19,23,nan,47,"1,635",421,626,51,23,10,91,108,9,72,508,99,45,30,36,34,nan,62,"2,225","2,397","3,471",727.0,467.0,98.0,696.0,886,391.0,938,"5,035",834.0,286.0,780,523.0,656.0,735.0,"18,920",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,378","2,225",498,241,41,447,588,223,412,"2,997",403,119,435,268,332,nan,355,"10,962","1,019","1,246",229,226,57,249,298,168,526,"2,038",431,167,345,255,324,nan,380,"7,958",70.5%,78.8%,74.5%,78.3%,70.0%,75.8%,80.6%,88.9%,70.8%,73.2%,65.7%,44.4%,70.0%,52.8%,67.6%,nan,75.8%,73.5%
2020-04-13 19:13:16.814953,297,499,53,18,7,69,87,8,51,372,65,20,21,19,23,nan,47,"1,656",421,641,71,23,10,91,108,9,73,506,99,45,30,36,34,nan,62,"2,259","2,397","3,506",824.0,467.0,98.0,696.0,915,391.0,978,"5,047",831.0,286.0,780,523.0,656.0,735.0,"19,130",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,380","2,250",572,241,41,447,614,223,435,"3,007",403,119,435,268,332,nan,355,"11,122","1,017","1,256",252,226,57,249,301,168,543,"2,040",428,167,345,255,324,nan,380,"8,008",70.5%,77.8%,74.6%,78.3%,70.0%,75.8%,80.6%,88.9%,69.9%,73.5%,65.7%,44.4%,70.0%,52.8%,67.6%,nan,75.8%,73.3%
2020-04-13 21:14:24.244239,306,499,53,19,7,69,87,8,51,372,65,20,21,19,23,nan,47,"1,666",430,642,71,24,10,91,108,9,73,506,100,45,30,36,34,nan,62,"2,271","2,428","3,507",824.0,505.0,98.0,696.0,915,391.0,967,"5,056",844.0,286.0,780,523.0,656.0,735.0,"19,211",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,398","2,251",572,268,41,447,619,223,434,"3,010",411,116,431,267,332,nan,355,"11,175","1,030","1,256",252,237,57,249,296,168,533,"2,046",433,170,349,256,324,nan,380,"8,036",71.2%,77.7%,74.6%,79.2%,70.0%,75.8%,80.6%,88.9%,69.9%,73.5%,65.0%,44.4%,70.0%,52.8%,67.6%,nan,75.8%,73.4%
2020-04-13 22:24:25.236658,306,501,53,30,8,69,87,8,51,373,65,20,21,19,23,nan,47,"1,681",430,644,71,42,11,91,108,9,73,508,100,45,30,36,34,nan,62,"2,294","2,428","3,515",824.0,554.0,98.0,696.0,915,391.0,967,"5,076",844.0,286.0,780,523.0,656.0,735.0,"19,288",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,398","2,253",572,306,45,447,619,223,434,"3,020",411,115,431,267,332,nan,355,"11,228","1,030","1,262",252,248,53,249,296,168,533,"2,056",433,171,349,256,324,nan,380,"8,060",71.2%,77.8%,74.6%,71.4%,72.7%,75.8%,80.6%,88.9%,69.9%,73.4%,65.0%,44.4%,70.0%,52.8%,67.6%,nan,75.8%,73.3%
